iter_idx,total edge splits,total component splits,number_of_components,number_of_communities,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp,ami,ars,urs,homog
0,300,1,2,935,0.307506428813633,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
1,400,2,4,133,0.030788623601679648,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
2,500,3,6,36,0.011221179504980363,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
3,600,4,9,35,0.5119381278119729,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
4,700,5,11,31,0.5646148779609131,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
5,800,6,13,36,0.2849023026480436,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
6,900,7,14,36,0.5666091169190722,0.33769964933381147,13761,0,24,59535,0.0,0.0,0.4009132862842918,0.0
7,1000,8,19,44,0.3285934668773663,0.33769964933381147,13761,0,24,59535,0.00034671690128181747,0.00019206383241329803,0.40105714582667906,0.0002461372183672907
8,1100,9,21,57,0.2976166757824814,0.33769964933381147,13761,0,24,59535,0.00034671690128181747,0.00019206383241329803,0.40105714582667906,0.0002461372183672907
9,1200,10,24,52,0.5401652358647815,0.33769964933381147,13761,0,24,59535,0.00034671690128181747,0.00019206383241329803,0.40105714582667906,0.0002461372183672907
10,1300,11,26,60,0.32766734524119484,0.33769964933381147,13760,0,24,59535,0.003061905327445178,0.0013456408093102468,0.40188926022206184,0.0017372545891855403
11,1400,12,32,68,0.35958858050806625,0.33769964933381147,13760,0,24,59535,0.02171032930485006,0.008313142672797477,0.4070872109925512,0.011357652091597984
12,1600,13,33,76,0.6251868161054223,0.33769964933381147,13760,0,24,59535,0.02171032930485006,0.008313142672797477,0.4070872109925512,0.011357652091597984
13,1800,14,34,89,0.5810234622174564,0.33769964933381147,13759,0,24,59535,0.0217151621070331,0.008315723281135256,0.4071449206498582,0.011360135740451319
14,1900,15,36,73,0.6284575524309853,0.33769964933381147,13759,0,24,59535,0.0217151621070331,0.008315723281135256,0.4071449206498582,0.011360135740451319
15,2000,16,51,95,0.6347659407681284,0.33769964933381147,13758,0,24,59535,0.0432148150894073,0.015595341351385619,0.41264048551138427,0.022744452687961807
16,2100,17,55,91,0.6251365346237221,0.33769964933381147,13758,0,24,59535,0.05018775277788153,0.018957822547421847,0.41531895118522594,0.026672371495831775
17,2200,18,58,97,0.6697196943100112,0.33769964933381147,13758,0,24,59535,0.05018775277788153,0.018957822547421847,0.41531895118522594,0.026672371495831775
18,2300,19,63,114,0.6524470776722737,0.33769964933381147,13758,0,24,59535,0.05018775277788153,0.018957822547421847,0.41531895118522594,0.026672371495831775
19,2400,20,65,123,0.5650093125375677,0.33769964933381147,13758,0,24,59535,0.05018775277788153,0.018957822547421847,0.41531895118522594,0.026672371495831775
20,2500,21,70,124,0.6768794157110795,0.33769964933381147,13758,0,24,59535,0.05018775277788153,0.018957822547421847,0.41531895118522594,0.026672371495831775
21,2600,22,74,114,0.3791299557619625,0.33769964933381147,13758,0,24,59535,0.05018775277788153,0.018957822547421847,0.41531895118522594,0.026672371495831775
22,2700,23,80,127,0.6554051965233586,0.33769964933381147,13757,0,24,59535,0.050188193753724936,0.018956659821593266,0.41528845617900345,0.026672636955210396
23,2800,24,83,124,0.6531808349281897,0.33769964933381147,13757,0,24,59535,0.050188193753724936,0.018956659821593266,0.41528845617900345,0.026672636955210396
24,2900,25,85,127,0.6691178405736418,0.33769964933381147,13756,0,24,59535,0.05060625690164363,0.019445126798246955,0.41570602310254573,0.02704758870347946
25,3000,26,93,152,0.6642854273294119,0.33769964933381147,13755,0,24,59535,0.19738743150679147,0.09717444967040065,0.4721435440320273,0.11149575236553895
26,3100,27,99,150,0.6495520003457933,0.33769964933381147,13754,0,24,59535,0.1974117354342243,0.09720190689478947,0.47220136701888543,0.11151110239894946
27,3200,28,105,155,0.6840200201080174,0.33769964933381147,13754,0,24,59535,0.1974117354342243,0.09720190689478947,0.47220136701888543,0.11151110239894946
28,3300,29,112,150,0.6570406148369786,0.33769964933381147,13754,0,24,59535,0.1974117354342243,0.09720190689478947,0.47220136701888543,0.11151110239894946
29,3400,30,118,164,0.6825631713481156,0.33769964933381147,13754,0,24,59535,0.1974117354342243,0.09720190689478947,0.47220136701888543,0.11151110239894946
30,3500,31,119,174,0.6668494000883253,0.33769964933381147,13753,0,24,59535,0.19742839703346152,0.09722615466869126,0.47225078439705387,0.1115216349776864
