,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,592,1,2,0.8511627268612055,0.8590498544785306,0,0,22,13248
1,672,2,3,0.8514079158668924,0.8590498544785306,2,0,22,13248
2,712,3,5,0.852146295593632,0.8590498544785306,2,0,22,13248
3,752,4,6,0.8524840807795665,0.8590498544785306,9,0,22,13248
4,762,5,7,0.8531250571933833,0.8590498544785306,9,0,22,13248
5,812,6,8,0.8530833917947908,0.8590498544785306,15,0,22,13248
6,942,7,9,0.8533436195336459,0.8590498544785306,18,0,22,13248
7,1202,8,10,0.8563553055645088,0.8590498544785306,78,0,22,13248
8,1212,9,11,0.8567063905679537,0.8590498544785306,78,0,22,13248
9,1232,10,12,0.8566056751544818,0.8590498544785306,78,0,22,13248
10,1242,11,15,0.8543346215581626,0.8590498544785306,94,0,22,13248
11,1302,12,16,0.8503114323318035,0.8590498544785306,98,0,22,13248
12,1392,13,17,0.8544620111314752,0.8590498544785306,98,0,22,13248
13,1502,14,18,0.8533038129199236,0.8590498544785306,101,0,22,13248
14,1582,15,19,0.853285147196837,0.8590498544785306,101,0,22,13248
15,1612,16,20,0.8583057339248256,0.8590498544785306,101,0,22,13248
16,1652,17,21,0.8580723570188356,0.8590498544785306,103,0,22,13248
17,1672,18,22,0.8580524317638636,0.8590498544785306,103,0,22,13248
18,1682,19,23,0.8582396314311835,0.8590498544785306,103,0,22,13248
19,1692,20,25,0.85765591373475,0.8590498544785306,438,0,22,13248
20,1742,21,26,0.8570481407037018,0.8590498544785306,438,0,22,13248
21,1752,22,27,0.8555584247285207,0.8590498544785306,444,0,22,13248
22,1762,23,29,0.8578956648359167,0.8590498544785306,748,0,22,13248
