,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,391,1,2,0.8052471677082531,0.8099473523411241,0,0,21,12136
1,421,2,3,0.8046515875033174,0.8099473523411241,0,0,21,12136
2,461,3,4,0.8042135295600314,0.8099473523411241,7,0,21,12136
3,501,4,5,0.8038284118390882,0.8099473523411241,7,0,21,12136
4,521,5,6,0.8042448001178922,0.8099473523411241,7,0,21,12136
5,571,6,8,0.8047463706165077,0.8099473523411241,11,0,21,12136
6,601,7,10,0.8033499643611507,0.8099473523411241,16,0,21,12136
7,691,8,11,0.8053046626422602,0.8099473523411241,16,0,21,12136
8,701,9,12,0.8053752459692918,0.8099473523411241,16,0,21,12136
9,751,10,13,0.8045794321505192,0.8099473523411241,16,0,21,12136
10,771,11,14,0.8044008156895353,0.8099473523411241,31,0,21,12136
11,781,12,15,0.8051058030468754,0.8099473523411241,31,0,21,12136
12,821,13,16,0.8044358854414396,0.8099473523411241,31,0,21,12136
13,892,14,17,0.8044630745130444,0.8099473523411241,31,0,21,12136
14,902,15,18,0.8045280956979368,0.8099473523411241,36,0,21,12136
15,1022,16,19,0.8064201886964202,0.8099473523411241,36,0,21,12136
16,1032,17,20,0.804611040213303,0.8099473523411241,51,0,21,12136
17,1052,18,21,0.8065316559730983,0.8099473523411241,51,0,21,12136
18,1192,19,22,0.800231060348211,0.8099473523411241,51,0,21,12136
19,1202,20,23,0.799172651890947,0.8099473523411241,51,0,21,12136
20,1222,21,24,0.8057595674151473,0.8099473523411241,51,0,21,12136
21,1274,22,25,0.8050804125658861,0.8099473523411241,51,0,21,12136
