,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,90,1,2,0.8490015848655914,0.8468539408113683,0,0,24,15125
1,130,2,3,0.840093206616563,0.8468539408113683,0,0,24,15125
2,550,3,4,0.8492410554864197,0.8468539408113683,0,0,24,15125
3,660,4,5,0.8484732245912403,0.8468539408113683,0,0,24,15125
4,700,5,6,0.848609591343001,0.8468539408113683,0,0,24,15125
5,1020,6,7,0.8490045558916697,0.8468539408113683,59,0,24,15125
6,1471,7,8,0.8492181769362025,0.8468539408113683,59,0,24,15125
7,1521,8,9,0.8519288935794944,0.8468539408113683,59,0,24,15125
8,1611,9,10,0.851998407400842,0.8468539408113683,59,0,24,15125
9,1661,10,11,0.8522326883750763,0.8468539408113683,59,0,24,15125
10,1691,11,12,0.8512574106217997,0.8468539408113683,59,0,24,15125
11,1721,12,13,0.8505998863896066,0.8468539408113683,59,0,24,15125
12,1761,13,14,0.8510536032128114,0.8468539408113683,59,0,24,15125
13,1811,14,15,0.846126980332009,0.8468539408113683,59,0,24,15125
14,1861,15,16,0.8525110857142424,0.8468539408113683,59,0,24,15125
15,1881,16,17,0.852754920882064,0.8468539408113683,59,0,24,15125
16,1891,17,18,0.8525712063917086,0.8468539408113683,59,0,24,15125
17,1901,18,19,0.850869946260285,0.8468539408113683,59,0,24,15125
18,1921,19,20,0.8530503257180033,0.8468539408113683,59,0,24,15125
19,1951,20,21,0.8526437596327112,0.8468539408113683,59,0,24,15125
20,1961,21,23,0.8520834888116712,0.8468539408113683,59,0,24,15125
21,1971,22,24,0.8478431598904038,0.8468539408113683,59,0,24,15125
22,1991,23,25,0.8473182407920185,0.8468539408113683,59,0,24,15125
23,2001,24,26,0.85111000734927,0.8468539408113683,64,0,24,15125
24,2011,25,27,0.8495307140990165,0.8468539408113683,64,0,24,15125
