,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,580,1,2,0.6676791013578778,0.6670832384399364,0,0,23,14850
1,700,2,4,0.6685352439513093,0.6670832384399364,0,0,23,14850
2,800,3,5,0.6683914599730791,0.6670832384399364,0,0,23,14850
3,900,4,6,0.7501366112165714,0.6670832384399364,0,0,23,14850
4,980,5,7,0.7508982320131274,0.6670832384399364,0,0,23,14850
5,1090,6,8,0.7509900478492536,0.6670832384399364,0,0,23,14850
6,1151,7,9,0.6586977941243718,0.6670832384399364,2,0,23,14850
7,1181,8,10,0.6682996959404737,0.6670832384399364,8,0,23,14850
8,1261,9,11,0.6570301576641817,0.6670832384399364,8,0,23,14850
9,1281,10,12,0.6570348311511691,0.6670832384399364,34,0,23,14850
10,1341,11,13,0.6570878047638582,0.6670832384399364,34,0,23,14850
11,1371,12,14,0.6572808872637329,0.6670832384399364,34,0,23,14850
12,1381,13,16,0.657218860316859,0.6670832384399364,43,0,23,14850
13,1391,14,19,0.6573282000483951,0.6670832384399364,49,0,23,14850
14,1441,15,20,0.6574427456621357,0.6670832384399364,49,0,23,14850
15,1461,16,22,0.6574794271890958,0.6670832384399364,76,0,23,14850
16,1501,17,23,0.6575212204786443,0.6670832384399364,76,0,23,14850
17,1511,18,24,0.6684741053370861,0.6670832384399364,76,0,23,14850
18,1631,19,25,0.750584178466031,0.6670832384399364,488,0,23,14850
19,1651,20,26,0.6687670286834202,0.6670832384399364,488,0,23,14850
20,1661,21,27,0.6687031261056984,0.6670832384399364,504,0,23,14850
21,1681,22,28,0.6689505829919649,0.6670832384399364,504,0,23,14850
22,1721,23,29,0.7506877283376443,0.6670832384399364,504,0,23,14850
23,1731,24,31,0.6687747516905947,0.6670832384399364,504,0,23,14850
