,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,270,1,2,0.7999444176623612,0.8117541564182194,4,0,21,12136
1,310,2,3,0.804082533778938,0.8117541564182194,9,0,21,12136
2,350,3,4,0.8043394192164325,0.8117541564182194,11,0,21,12136
3,390,4,5,0.8051586377795158,0.8117541564182194,11,0,21,12136
4,451,5,6,0.8025522958482479,0.8117541564182194,15,0,21,12136
5,541,6,7,0.8059472537631348,0.8117541564182194,15,0,21,12136
6,691,7,8,0.8054806878222348,0.8117541564182194,17,0,21,12136
7,731,8,9,0.8039941007894933,0.8117541564182194,17,0,21,12136
8,751,9,10,0.8046532399767615,0.8117541564182194,17,0,21,12136
9,761,10,11,0.8029170081522838,0.8117541564182194,17,0,21,12136
10,871,11,12,0.8028209791196366,0.8117541564182194,17,0,21,12136
11,961,12,14,0.8039326266074692,0.8117541564182194,17,0,21,12136
12,1001,13,15,0.8030423396243052,0.8117541564182194,32,0,21,12136
13,1031,14,16,0.805784931450183,0.8117541564182194,39,0,21,12136
14,1041,15,17,0.8057568385556909,0.8117541564182194,39,0,21,12136
15,1061,16,18,0.8051134107448152,0.8117541564182194,39,0,21,12136
16,1071,17,20,0.8011010597325505,0.8117541564182194,192,0,21,12136
17,1121,18,21,0.8060594388275094,0.8117541564182194,192,0,21,12136
18,1131,19,22,0.8057698098884913,0.8117541564182194,192,0,21,12136
19,1141,20,23,0.8059046407338697,0.8117541564182194,192,0,21,12136
20,1152,21,25,0.805693865530193,0.8117541564182194,215,0,21,12136
21,1162,22,27,0.805796648186521,0.8117541564182194,215,0,21,12136
