,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,470,1,2,0.6671703631136201,0.6670832384399364,0,0,23,14850
1,580,2,3,0.667389781756463,0.6670832384399364,0,0,23,14850
2,600,3,4,0.7509330021883411,0.6670832384399364,0,0,23,14850
3,740,4,5,0.7508065344837516,0.6670832384399364,6,0,23,14850
4,820,5,6,0.7511220899215525,0.6670832384399364,6,0,23,14850
5,910,6,7,0.658106775989525,0.6670832384399364,6,0,23,14850
6,930,7,8,0.6581190680373505,0.6670832384399364,6,0,23,14850
7,940,8,9,0.6577001765464886,0.6670832384399364,6,0,23,14850
8,1061,9,10,0.6584430731774334,0.6670832384399364,6,0,23,14850
9,1072,10,11,0.6585005210300672,0.6670832384399364,8,0,23,14850
10,1172,11,12,0.667932465055641,0.6670832384399364,8,0,23,14850
11,1273,12,13,0.6678996800709166,0.6670832384399364,420,0,23,14850
12,1323,13,15,0.6587639280692349,0.6670832384399364,420,0,23,14850
13,1413,14,17,0.6681379704029472,0.6670832384399364,426,0,23,14850
14,1423,15,18,0.6682079264393918,0.6670832384399364,426,0,23,14850
15,1503,16,19,0.6688089355530797,0.6670832384399364,452,0,23,14850
16,1513,17,20,0.6589839460717416,0.6670832384399364,452,0,23,14850
17,1523,18,22,0.6589561706767303,0.6670832384399364,458,0,23,14850
18,1533,19,23,0.6589561772369208,0.6670832384399364,458,0,23,14850
19,1543,20,24,0.6589133345081014,0.6670832384399364,458,0,23,14850
20,1563,21,25,0.6587906580808199,0.6670832384399364,458,0,23,14850
21,1573,22,26,0.6586829984803338,0.6670832384399364,458,0,23,14850
22,1583,23,27,0.6683108728634399,0.6670832384399364,458,0,23,14850
23,1673,24,28,0.6684553726336198,0.6670832384399364,458,0,23,14850
