iter_idx,total edge splits,total component splits,number_of_components,number_of_communities,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp,ami,ars,urs,homog
44,4800,45,209,237,0.8405967721127807,0.5413091544849608,14712,0,22,70424,0.941860066486579,0.9641884349150761,0.9829720274201565,0.925009463426361
45,4900,46,210,220,0.781610654548654,0.5413091544849608,14711,0,22,70424,0.9418591569357396,0.9641854833254192,0.9829710893511845,0.9250081349499719
46,5000,47,216,233,0.8352326656683869,0.5413091544849608,14711,0,22,70424,0.9496721355268231,0.967983230038064,0.9847901012024973,0.9414959747913033
47,5100,48,218,244,0.8410224816193312,0.5413091544849608,14709,0,22,70424,0.949670672389334,0.9679785464279269,0.9847887194882322,0.9414940200647715
48,5200,49,222,245,0.8318179955259606,0.5413091544849608,14708,0,22,70424,0.9496699406893864,0.9679762038208611,0.9847880285601965,0.9414930425196545
49,5300,50,226,249,0.8327455324281501,0.5413091544849608,14707,0,22,70424,0.9496692089019173,0.9679738606789006,0.9847873375848921,0.9414920648532721
50,5401,51,227,243,0.7917581643035309,0.5413091544849608,14707,0,22,70424,0.9496562746137245,0.9679099120720396,0.9847565628259907,0.9413069250452536
51,5501,52,230,249,0.7919691954319732,0.5413091544849608,14707,0,22,70424,0.9496562746137245,0.9679099120720396,0.9847565628259907,0.9413069250452536
52,5601,53,235,254,0.7924418795854347,0.5413091544849608,14705,0,22,70424,0.9496548099416808,0.9679052038038055,0.9847551723614842,0.9413049614542822
53,5804,54,237,261,0.7984560020627066,0.5413091544849608,14705,0,22,70424,0.9496548099416808,0.9679052038038055,0.9847551723614842,0.9413049614542822
54,5904,55,238,249,0.8358725143320449,0.5413091544849608,14705,0,22,70424,0.9496548099416808,0.9679052038038055,0.9847551723614842,0.9413049614542822
55,6004,56,240,253,0.8291142270310794,0.5413091544849608,14704,0,22,70424,0.9496540774742424,0.9679028488624428,0.9847544770570462,0.9413039794760143
56,6104,57,245,262,0.8487727939434325,0.5413091544849608,14704,0,22,70424,0.9496540774742424,0.9679028488624428,0.9847544770570462,0.9413039794760143
57,6204,58,248,262,0.8424020855974249,0.5413091544849608,14702,0,22,70424,0.9498783979542158,0.968069777799081,0.9848351927360357,0.9417318646007498
58,6304,59,254,278,0.8447718938231191,0.5413091544849608,14702,0,22,70424,0.9498783979542158,0.968069777799081,0.9848351927360357,0.9417318646007498
59,6404,60,256,281,0.8565038203206433,0.5413091544849608,14700,0,22,70424,0.9498769370157113,0.9680650808654454,0.9848338056223919,0.9417299085267516
60,6504,61,263,282,0.8614993411155584,0.5413091544849608,14700,0,22,70424,0.9502986611809767,0.9684083575229662,0.9849979891269386,0.9425305545302359
61,6704,62,265,304,0.8601033498763839,0.5413091544849608,14699,0,22,70424,0.9502979346383728,0.968406024975748,0.9849972993239187,0.9425295837864291
62,6904,63,266,286,0.8544806374116596,0.5413091544849608,14699,0,22,70424,0.9502979346383728,0.968406024975748,0.9849972993239187,0.9425295837864291
63,7104,64,268,309,0.8569970992614546,0.5413091544849608,14699,0,22,70424,0.9502979346383728,0.968406024975748,0.9849972993239187,0.9425295837864291
64,7204,65,273,296,0.8585932165458903,0.5413091544849608,14695,0,22,70424,0.9502950275968799,0.9683966894372257,0.9849945396234019,0.942525699602715
65,7304,66,280,308,0.8593788585794404,0.5413091544849608,14693,0,22,70424,0.9502935735532317,0.9683920184557487,0.9849931594800705,0.9425237567854003
66,7404,67,286,310,0.8566912363490592,0.5413091544849608,14688,0,22,70424,0.95028993691784,0.9683803316219622,0.9849897082668961,0.9425188976245088
67,7504,68,289,315,0.8545266842636056,0.5413091544849608,14688,0,22,70424,0.95028993691784,0.9683803316219622,0.9849897082668961,0.9425188976245088
68,7604,69,291,309,0.8564442610945525,0.5413091544849608,14688,0,22,70424,0.95028993691784,0.9683803316219622,0.9849897082668961,0.9425188976245088
69,7704,70,296,323,0.85929728419728,0.5413091544849608,14682,0,22,70424,0.9502855700746314,0.9683662897083899,0.984985565198984,0.9425130626344866
70,7804,71,300,328,0.8576503063192894,0.5413091544849608,14681,0,22,70424,0.9502848419616455,0.9683639475083702,0.984984874516674,0.9425120897118617
71,7904,72,301,315,0.8562395554558218,0.5413091544849608,14681,0,22,70424,0.9502848419616455,0.9683639475083702,0.984984874516674,0.9425120897118617
72,8105,73,303,337,0.8563656019613914,0.5413091544849608,14681,0,22,70424,0.9502848419616455,0.9683639475083702,0.984984874516674,0.9425120897118617
73,8305,74,304,338,0.8565895649269413,0.5413091544849608,14680,0,22,70424,0.9502841137612393,0.9683616047704313,0.9849841837855076,0.9425111166679403
74,8405,75,306,316,0.8566205944072941,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
75,8505,76,308,320,0.856566097709542,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
76,8605,77,309,327,0.8642961184469561,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
77,8805,78,312,368,0.8597103571723419,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
78,9006,79,316,364,0.8375188645086824,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
79,9106,80,318,339,0.8639295594044909,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
80,9206,81,321,336,0.8639155476624304,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
81,9306,82,323,351,0.8657118404338067,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
82,9506,83,324,374,0.865843043770135,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
83,9606,84,330,358,0.864787555136549,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
84,9706,85,332,355,0.8650424648416504,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
85,9806,86,336,354,0.8650239923844033,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
86,9907,87,337,369,0.8655986200064121,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
87,10007,88,338,355,0.8651725334610006,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
88,10110,89,342,377,0.8657757286469804,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
89,10210,90,345,376,0.8658225787651637,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
90,10310,91,347,388,0.8658455671453548,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
91,10410,92,350,378,0.8654901798758466,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
92,10510,93,351,388,0.8655128236390198,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
93,10610,94,353,388,0.8661456076341407,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
94,10711,95,357,393,0.8661856751386025,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
95,10814,96,360,401,0.8660088064788708,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
96,11018,97,365,448,0.8716940805035411,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
97,11118,98,366,416,0.8684810830321641,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
98,11222,99,367,407,0.8668889073505789,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
99,11322,100,369,404,0.8664355013041716,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
100,11422,101,373,418,0.8700360986610567,0.5413091544849608,14680,0,22,70424,0.9505818626127065,0.9685446967646835,0.9850716226428123,0.9428596668541219
