,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,140,1,2,0.8502838085200418,0.8510037082113513,0,0,24,15125
1,210,2,3,0.8481005831287465,0.8510037082113513,0,0,24,15125
2,240,3,4,0.8410743715617789,0.8510037082113513,0,0,24,15125
3,491,4,5,0.8486396219233621,0.8510037082113513,0,0,24,15125
4,511,5,6,0.8398335541093923,0.8510037082113513,0,0,24,15125
5,591,6,7,0.8391231961030099,0.8510037082113513,0,0,24,15125
6,1071,7,8,0.8406419960008561,0.8510037082113513,0,0,24,15125
7,1333,8,9,0.8513739345160779,0.8510037082113513,34,0,24,15125
8,1443,9,11,0.8511227984294426,0.8510037082113513,34,0,24,15125
9,1483,10,12,0.8523507928672155,0.8510037082113513,34,0,24,15125
10,1583,11,13,0.8444088761541746,0.8510037082113513,34,0,24,15125
11,1593,12,14,0.8459138971937397,0.8510037082113513,34,0,24,15125
12,1653,13,15,0.844861879916229,0.8510037082113513,34,0,24,15125
13,1693,14,17,0.8448726533435745,0.8510037082113513,34,0,24,15125
14,1723,15,18,0.8456587965716187,0.8510037082113513,34,0,24,15125
15,1773,16,19,0.845560443770895,0.8510037082113513,34,0,24,15125
16,1793,17,21,0.8458000637067086,0.8510037082113513,36,0,24,15125
17,1803,18,22,0.8457793015646003,0.8510037082113513,36,0,24,15125
18,1823,19,23,0.8456435691895137,0.8510037082113513,38,0,24,15125
19,1863,20,24,0.84548891776021,0.8510037082113513,38,0,24,15125
20,1873,21,26,0.8456547232223497,0.8510037082113513,38,0,24,15125
21,1883,22,27,0.8457915845698191,0.8510037082113513,38,0,24,15125
22,1933,23,28,0.8440333046652801,0.8510037082113513,38,0,24,15125
23,1943,24,29,0.844073202806017,0.8510037082113513,38,0,24,15125
24,1963,25,30,0.8353570969489295,0.8510037082113513,38,0,24,15125
