,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,150,1,2,0.8279877826009889,0.8347992946476308,0,0,24,12707
1,230,2,3,0.8260003061272624,0.8347992946476308,0,0,24,12707
2,260,3,4,0.8384325974213586,0.8347992946476308,0,0,24,12707
3,632,4,6,0.8437783661501982,0.8347992946476308,219,0,24,12707
4,652,5,7,0.8397655043815679,0.8347992946476308,1616,0,24,12707
5,682,6,8,0.8281831234955415,0.8347992946476308,1624,0,24,12707
6,802,7,9,0.8397301388831409,0.8347992946476308,1624,0,24,12707
7,912,8,10,0.8401459942862786,0.8347992946476308,1630,0,24,12707
8,942,9,11,0.8390686057142159,0.8347992946476308,1630,0,24,12707
9,952,10,12,0.8396467342721068,0.8347992946476308,1630,0,24,12707
10,972,11,13,0.8392168297546312,0.8347992946476308,1630,0,24,12707
11,1052,12,14,0.8398633853755976,0.8347992946476308,1630,0,24,12707
12,1062,13,15,0.8397453748395638,0.8347992946476308,1630,0,24,12707
13,1072,14,16,0.8393459335984617,0.8347992946476308,1630,0,24,12707
14,1082,15,17,0.8395077983221491,0.8347992946476308,1632,0,24,12707
15,1092,16,19,0.8394548031627519,0.8347992946476308,1640,0,24,12707
16,1102,17,20,0.8393127229240595,0.8347992946476308,1640,0,24,12707
17,1112,18,21,0.8393299243536797,0.8347992946476308,1640,0,24,12707
18,1142,19,22,0.8393524413877814,0.8347992946476308,1640,0,24,12707
19,1212,20,23,0.8398294461378631,0.8347992946476308,1640,0,24,12707
20,1252,21,24,0.8400586080988618,0.8347992946476308,1640,0,24,12707
21,1272,22,25,0.8405518267228324,0.8347992946476308,1640,0,24,12707
22,1282,23,26,0.8404505567511463,0.8347992946476308,1640,0,24,12707
23,1362,24,27,0.8408298728836948,0.8347992946476308,1640,0,24,12707
24,1372,25,29,0.8406898822561892,0.8347992946476308,1640,0,24,12707
