,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,210,1,2,0.7681886700065733,0.7747398551672363,0,0,23,13417
1,480,2,3,0.7725894496622888,0.7747398551672363,0,0,23,13417
2,660,3,5,0.772579015753308,0.7747398551672363,0,0,23,13417
3,710,4,6,0.7709465152173643,0.7747398551672363,0,0,23,13417
4,720,5,7,0.7769877720889782,0.7747398551672363,0,0,23,13417
5,740,6,8,0.7724110167696053,0.7747398551672363,0,0,23,13417
6,760,7,9,0.7728727467473689,0.7747398551672363,0,0,23,13417
7,780,8,11,0.7727949172922081,0.7747398551672363,0,0,23,13417
8,800,9,12,0.7728651154223389,0.7747398551672363,0,0,23,13417
9,810,10,13,0.7729020703805096,0.7747398551672363,0,0,23,13417
10,942,11,14,0.7769355496156883,0.7747398551672363,0,0,23,13417
11,952,12,15,0.7749134392955649,0.7747398551672363,0,0,23,13417
12,992,13,16,0.775326071882705,0.7747398551672363,11,0,23,13417
13,1062,14,17,0.7754167579809471,0.7747398551672363,11,0,23,13417
14,1082,15,18,0.7762417542698511,0.7747398551672363,11,0,23,13417
15,1092,16,19,0.7747314276213199,0.7747398551672363,11,0,23,13417
16,1152,17,20,0.7738431662983638,0.7747398551672363,14,0,23,13417
17,1202,18,21,0.7705274884968129,0.7747398551672363,14,0,23,13417
18,1222,19,22,0.7703337287287072,0.7747398551672363,14,0,23,13417
19,1232,20,23,0.7697414889676233,0.7747398551672363,25,0,23,13417
20,1252,21,24,0.7698192000068507,0.7747398551672363,31,0,23,13417
21,1282,22,25,0.7698525424584942,0.7747398551672363,31,0,23,13417
22,1362,23,26,0.76973473284692,0.7747398551672363,31,0,23,13417
23,1402,24,27,0.769847649162586,0.7747398551672363,31,0,23,13417
